Guide,Truth,Indels,variable,value
cnsta,0,No indels > 10bp,CrispRVariants,0
cnsta,0,Mixed Indels,CrispRVariants,0
cnsta,0,Insertions > 10bp,CrispRVariants,0
cnsta,0,Deletions > 10bp,CrispRVariants,0
cnsta,33.3%,No indels > 10bp,CrispRVariants,32.82
cnsta,33.3%,Mixed Indels,CrispRVariants,32.89
cnsta,33.3%,Insertions > 10bp,CrispRVariants,0
cnsta,33.3%,Deletions > 10bp,CrispRVariants,33.22
cnsta,66.7%,No indels > 10bp,CrispRVariants,66.01
cnsta,66.7%,Mixed Indels,CrispRVariants,66.16
cnsta,66.7%,Insertions > 10bp,CrispRVariants,0
cnsta,66.7%,Deletions > 10bp,CrispRVariants,66.56
cnsta,90%,No indels > 10bp,CrispRVariants,89.82
cnsta,90%,Mixed Indels,CrispRVariants,88.26
cnsta,90%,Insertions > 10bp,CrispRVariants,0
cnsta,90%,Deletions > 10bp,CrispRVariants,89.97
cntn1a,0,No indels > 10bp,CrispRVariants,0
cntn1a,0,Mixed Indels,CrispRVariants,0
cntn1a,0,Insertions > 10bp,CrispRVariants,0
cntn1a,0,Deletions > 10bp,CrispRVariants,0
cntn1a,33.3%,No indels > 10bp,CrispRVariants,32.5
cntn1a,33.3%,Mixed Indels,CrispRVariants,32.9
cntn1a,33.3%,Insertions > 10bp,CrispRVariants,0
cntn1a,33.3%,Deletions > 10bp,CrispRVariants,33.31
cntn1a,66.7%,No indels > 10bp,CrispRVariants,65.1
cntn1a,66.7%,Mixed Indels,CrispRVariants,65.47
cntn1a,66.7%,Insertions > 10bp,CrispRVariants,0
cntn1a,66.7%,Deletions > 10bp,CrispRVariants,66.53
cntn1a,90%,No indels > 10bp,CrispRVariants,89.78
cntn1a,90%,Mixed Indels,CrispRVariants,89.59
cntn1a,90%,Insertions > 10bp,CrispRVariants,0
cntn1a,90%,Deletions > 10bp,CrispRVariants,87.36
cntn1b,0,No indels > 10bp,CrispRVariants,0
cntn1b,0,Mixed Indels,CrispRVariants,0
cntn1b,0,Insertions > 10bp,CrispRVariants,0
cntn1b,0,Deletions > 10bp,CrispRVariants,0
cntn1b,33.3%,No indels > 10bp,CrispRVariants,32.83
cntn1b,33.3%,Mixed Indels,CrispRVariants,32.86
cntn1b,33.3%,Insertions > 10bp,CrispRVariants,0
cntn1b,33.3%,Deletions > 10bp,CrispRVariants,33.3
cntn1b,66.7%,No indels > 10bp,CrispRVariants,65.97
cntn1b,66.7%,Mixed Indels,CrispRVariants,65.76
cntn1b,66.7%,Insertions > 10bp,CrispRVariants,0
cntn1b,66.7%,Deletions > 10bp,CrispRVariants,66.53
cntn1b,90%,No indels > 10bp,CrispRVariants,89.79
cntn1b,90%,Mixed Indels,CrispRVariants,89.81
cntn1b,90%,Insertions > 10bp,CrispRVariants,0
cntn1b,90%,Deletions > 10bp,CrispRVariants,89.99
cntn3b,0,No indels > 10bp,CrispRVariants,0
cntn3b,0,Mixed Indels,CrispRVariants,0
cntn3b,0,Insertions > 10bp,CrispRVariants,0
cntn3b,0,Deletions > 10bp,CrispRVariants,0
cntn3b,33.3%,No indels > 10bp,CrispRVariants,32.52
cntn3b,33.3%,Mixed Indels,CrispRVariants,32.65
cntn3b,33.3%,Insertions > 10bp,CrispRVariants,0
cntn3b,33.3%,Deletions > 10bp,CrispRVariants,33.2
cntn3b,66.7%,No indels > 10bp,CrispRVariants,66.04
cntn3b,66.7%,Mixed Indels,CrispRVariants,66.15
cntn3b,66.7%,Insertions > 10bp,CrispRVariants,0
cntn3b,66.7%,Deletions > 10bp,CrispRVariants,62.88
cntn3b,90%,No indels > 10bp,CrispRVariants,89.8
cntn3b,90%,Mixed Indels,CrispRVariants,89.81
cntn3b,90%,Insertions > 10bp,CrispRVariants,0
cntn3b,90%,Deletions > 10bp,CrispRVariants,89.95
cntnap2b,0,No indels > 10bp,CrispRVariants,0
cntnap2b,0,Mixed Indels,CrispRVariants,0
cntnap2b,0,Insertions > 10bp,CrispRVariants,0
cntnap2b,0,Deletions > 10bp,CrispRVariants,0
cntnap2b,33.3%,No indels > 10bp,CrispRVariants,32.86
cntnap2b,33.3%,Mixed Indels,CrispRVariants,32.23
cntnap2b,33.3%,Insertions > 10bp,CrispRVariants,0
cntnap2b,33.3%,Deletions > 10bp,CrispRVariants,31.03
cntnap2b,66.7%,No indels > 10bp,CrispRVariants,65.82
cntnap2b,66.7%,Mixed Indels,CrispRVariants,66.16
cntnap2b,66.7%,Insertions > 10bp,CrispRVariants,0
cntnap2b,66.7%,Deletions > 10bp,CrispRVariants,66.53
cntnap2b,90%,No indels > 10bp,CrispRVariants,89.72
cntnap2b,90%,Mixed Indels,CrispRVariants,89.66
cntnap2b,90%,Insertions > 10bp,CrispRVariants,0
cntnap2b,90%,Deletions > 10bp,CrispRVariants,88.45
cntnap4,0,No indels > 10bp,CrispRVariants,0
cntnap4,0,Mixed Indels,CrispRVariants,0
cntnap4,0,Insertions > 10bp,CrispRVariants,0
cntnap4,0,Deletions > 10bp,CrispRVariants,0
cntnap4,33.3%,No indels > 10bp,CrispRVariants,32.82
cntnap4,33.3%,Mixed Indels,CrispRVariants,32.82
cntnap4,33.3%,Insertions > 10bp,CrispRVariants,0
cntnap4,33.3%,Deletions > 10bp,CrispRVariants,28.51
cntnap4,66.7%,No indels > 10bp,CrispRVariants,66.04
cntnap4,66.7%,Mixed Indels,CrispRVariants,66.15
cntnap4,66.7%,Insertions > 10bp,CrispRVariants,0
cntnap4,66.7%,Deletions > 10bp,CrispRVariants,66.51
cntnap4,90%,No indels > 10bp,CrispRVariants,89.78
cntnap4,90%,Mixed Indels,CrispRVariants,89.79
cntnap4,90%,Insertions > 10bp,CrispRVariants,0
cntnap4,90%,Deletions > 10bp,CrispRVariants,89.91
CNTNAP5,0,No indels > 10bp,CrispRVariants,0
CNTNAP5,0,Mixed Indels,CrispRVariants,0
CNTNAP5,0,Insertions > 10bp,CrispRVariants,0
CNTNAP5,0,Deletions > 10bp,CrispRVariants,0
CNTNAP5,33.3%,No indels > 10bp,CrispRVariants,32.8
CNTNAP5,33.3%,Mixed Indels,CrispRVariants,33
CNTNAP5,33.3%,Insertions > 10bp,CrispRVariants,0
CNTNAP5,33.3%,Deletions > 10bp,CrispRVariants,33.31
CNTNAP5,66.7%,No indels > 10bp,CrispRVariants,66.1
CNTNAP5,66.7%,Mixed Indels,CrispRVariants,66.04
CNTNAP5,66.7%,Insertions > 10bp,CrispRVariants,0
CNTNAP5,66.7%,Deletions > 10bp,CrispRVariants,66.56
CNTNAP5,90%,No indels > 10bp,CrispRVariants,89.76
CNTNAP5,90%,Mixed Indels,CrispRVariants,89.67
CNTNAP5,90%,Insertions > 10bp,CrispRVariants,0
CNTNAP5,90%,Deletions > 10bp,CrispRVariants,89.99
gjd1a,0,No indels > 10bp,CrispRVariants,0
gjd1a,0,Mixed Indels,CrispRVariants,0
gjd1a,0,Insertions > 10bp,CrispRVariants,0
gjd1a,0,Deletions > 10bp,CrispRVariants,0
gjd1a,33.3%,No indels > 10bp,CrispRVariants,32.52
gjd1a,33.3%,Mixed Indels,CrispRVariants,32.71
gjd1a,33.3%,Insertions > 10bp,CrispRVariants,0
gjd1a,33.3%,Deletions > 10bp,CrispRVariants,33.19
gjd1a,66.7%,No indels > 10bp,CrispRVariants,66.06
gjd1a,66.7%,Mixed Indels,CrispRVariants,65.99
gjd1a,66.7%,Insertions > 10bp,CrispRVariants,0
gjd1a,66.7%,Deletions > 10bp,CrispRVariants,64.39
gjd1a,90%,No indels > 10bp,CrispRVariants,89.75
gjd1a,90%,Mixed Indels,CrispRVariants,89.73
gjd1a,90%,Insertions > 10bp,CrispRVariants,0
gjd1a,90%,Deletions > 10bp,CrispRVariants,89.22
nlgn1,0,No indels > 10bp,CrispRVariants,0
nlgn1,0,Mixed Indels,CrispRVariants,0
nlgn1,0,Insertions > 10bp,CrispRVariants,0
nlgn1,0,Deletions > 10bp,CrispRVariants,0
nlgn1,33.3%,No indels > 10bp,CrispRVariants,32.5
nlgn1,33.3%,Mixed Indels,CrispRVariants,32.71
nlgn1,33.3%,Insertions > 10bp,CrispRVariants,0
nlgn1,33.3%,Deletions > 10bp,CrispRVariants,33.24
nlgn1,66.7%,No indels > 10bp,CrispRVariants,65.68
nlgn1,66.7%,Mixed Indels,CrispRVariants,66.17
nlgn1,66.7%,Insertions > 10bp,CrispRVariants,0
nlgn1,66.7%,Deletions > 10bp,CrispRVariants,66.58
nlgn1,90%,No indels > 10bp,CrispRVariants,89.72
nlgn1,90%,Mixed Indels,CrispRVariants,89.83
nlgn1,90%,Insertions > 10bp,CrispRVariants,0
nlgn1,90%,Deletions > 10bp,CrispRVariants,89.96
nlgn3a,0,No indels > 10bp,CrispRVariants,0
nlgn3a,0,Mixed Indels,CrispRVariants,0
nlgn3a,0,Insertions > 10bp,CrispRVariants,0
nlgn3a,0,Deletions > 10bp,CrispRVariants,0
nlgn3a,33.3%,No indels > 10bp,CrispRVariants,32.61
nlgn3a,33.3%,Mixed Indels,CrispRVariants,32.16
nlgn3a,33.3%,Insertions > 10bp,CrispRVariants,0
nlgn3a,33.3%,Deletions > 10bp,CrispRVariants,33.22
nlgn3a,66.7%,No indels > 10bp,CrispRVariants,66.02
nlgn3a,66.7%,Mixed Indels,CrispRVariants,66.23
nlgn3a,66.7%,Insertions > 10bp,CrispRVariants,0
nlgn3a,66.7%,Deletions > 10bp,CrispRVariants,60.72
nlgn3a,90%,No indels > 10bp,CrispRVariants,89.79
nlgn3a,90%,Mixed Indels,CrispRVariants,89.69
nlgn3a,90%,Insertions > 10bp,CrispRVariants,0
nlgn3a,90%,Deletions > 10bp,CrispRVariants,89.94
nlgn4a,0,No indels > 10bp,CrispRVariants,0
nlgn4a,0,Mixed Indels,CrispRVariants,0
nlgn4a,0,Insertions > 10bp,CrispRVariants,0
nlgn4a,0,Deletions > 10bp,CrispRVariants,0
nlgn4a,33.3%,No indels > 10bp,CrispRVariants,32.86
nlgn4a,33.3%,Mixed Indels,CrispRVariants,32.18
nlgn4a,33.3%,Insertions > 10bp,CrispRVariants,0
nlgn4a,33.3%,Deletions > 10bp,CrispRVariants,33.18
nlgn4a,66.7%,No indels > 10bp,CrispRVariants,66.16
nlgn4a,66.7%,Mixed Indels,CrispRVariants,63.98
nlgn4a,66.7%,Insertions > 10bp,CrispRVariants,0
nlgn4a,66.7%,Deletions > 10bp,CrispRVariants,64.55
nlgn4a,90%,No indels > 10bp,CrispRVariants,89.43
nlgn4a,90%,Mixed Indels,CrispRVariants,89.62
nlgn4a,90%,Insertions > 10bp,CrispRVariants,0
nlgn4a,90%,Deletions > 10bp,CrispRVariants,89.95
nrxn1a_L,0,No indels > 10bp,CrispRVariants,0
nrxn1a_L,0,Mixed Indels,CrispRVariants,0
nrxn1a_L,0,Insertions > 10bp,CrispRVariants,0
nrxn1a_L,0,Deletions > 10bp,CrispRVariants,0
nrxn1a_L,33.3%,No indels > 10bp,CrispRVariants,31.86
nrxn1a_L,33.3%,Mixed Indels,CrispRVariants,32.87
nrxn1a_L,33.3%,Insertions > 10bp,CrispRVariants,0
nrxn1a_L,33.3%,Deletions > 10bp,CrispRVariants,31.32
nrxn1a_L,66.7%,No indels > 10bp,CrispRVariants,66.25
nrxn1a_L,66.7%,Mixed Indels,CrispRVariants,66.22
nrxn1a_L,66.7%,Insertions > 10bp,CrispRVariants,0
nrxn1a_L,66.7%,Deletions > 10bp,CrispRVariants,65.24
nrxn1a_L,90%,No indels > 10bp,CrispRVariants,89.77
nrxn1a_L,90%,Mixed Indels,CrispRVariants,89.7
nrxn1a_L,90%,Insertions > 10bp,CrispRVariants,0
nrxn1a_L,90%,Deletions > 10bp,CrispRVariants,89.96
nrxn1a_S,0,No indels > 10bp,CrispRVariants,0
nrxn1a_S,0,Mixed Indels,CrispRVariants,0
nrxn1a_S,0,Insertions > 10bp,CrispRVariants,0
nrxn1a_S,0,Deletions > 10bp,CrispRVariants,0
nrxn1a_S,33.3%,No indels > 10bp,CrispRVariants,32.91
nrxn1a_S,33.3%,Mixed Indels,CrispRVariants,32.24
nrxn1a_S,33.3%,Insertions > 10bp,CrispRVariants,0
nrxn1a_S,33.3%,Deletions > 10bp,CrispRVariants,33.2
nrxn1a_S,66.7%,No indels > 10bp,CrispRVariants,65.65
nrxn1a_S,66.7%,Mixed Indels,CrispRVariants,65.93
nrxn1a_S,66.7%,Insertions > 10bp,CrispRVariants,0
nrxn1a_S,66.7%,Deletions > 10bp,CrispRVariants,66.51
nrxn1a_S,90%,No indels > 10bp,CrispRVariants,89.77
nrxn1a_S,90%,Mixed Indels,CrispRVariants,88.29
nrxn1a_S,90%,Insertions > 10bp,CrispRVariants,0
nrxn1a_S,90%,Deletions > 10bp,CrispRVariants,89.96
nrxn1b_L,0,No indels > 10bp,CrispRVariants,0
nrxn1b_L,0,Mixed Indels,CrispRVariants,0
nrxn1b_L,0,Insertions > 10bp,CrispRVariants,0
nrxn1b_L,0,Deletions > 10bp,CrispRVariants,0
nrxn1b_L,33.3%,No indels > 10bp,CrispRVariants,32.61
nrxn1b_L,33.3%,Mixed Indels,CrispRVariants,32.82
nrxn1b_L,33.3%,Insertions > 10bp,CrispRVariants,0
nrxn1b_L,33.3%,Deletions > 10bp,CrispRVariants,30.43
nrxn1b_L,66.7%,No indels > 10bp,CrispRVariants,66.14
nrxn1b_L,66.7%,Mixed Indels,CrispRVariants,66.08
nrxn1b_L,66.7%,Insertions > 10bp,CrispRVariants,0
nrxn1b_L,66.7%,Deletions > 10bp,CrispRVariants,66.6
nrxn1b_L,90%,No indels > 10bp,CrispRVariants,89.78
nrxn1b_L,90%,Mixed Indels,CrispRVariants,89.31
nrxn1b_L,90%,Insertions > 10bp,CrispRVariants,0
nrxn1b_L,90%,Deletions > 10bp,CrispRVariants,90
nrxn1b_S,0,No indels > 10bp,CrispRVariants,0
nrxn1b_S,0,Mixed Indels,CrispRVariants,0
nrxn1b_S,0,Insertions > 10bp,CrispRVariants,0
nrxn1b_S,0,Deletions > 10bp,CrispRVariants,0
nrxn1b_S,33.3%,No indels > 10bp,CrispRVariants,32.85
nrxn1b_S,33.3%,Mixed Indels,CrispRVariants,32.58
nrxn1b_S,33.3%,Insertions > 10bp,CrispRVariants,0
nrxn1b_S,33.3%,Deletions > 10bp,CrispRVariants,33.23
nrxn1b_S,66.7%,No indels > 10bp,CrispRVariants,66.16
nrxn1b_S,66.7%,Mixed Indels,CrispRVariants,65.93
nrxn1b_S,66.7%,Insertions > 10bp,CrispRVariants,0
nrxn1b_S,66.7%,Deletions > 10bp,CrispRVariants,66.62
nrxn1b_S,90%,No indels > 10bp,CrispRVariants,89.8
nrxn1b_S,90%,Mixed Indels,CrispRVariants,89.78
nrxn1b_S,90%,Insertions > 10bp,CrispRVariants,0
nrxn1b_S,90%,Deletions > 10bp,CrispRVariants,89.98
nrxn3a_L,0,No indels > 10bp,CrispRVariants,0
nrxn3a_L,0,Mixed Indels,CrispRVariants,0
nrxn3a_L,0,Insertions > 10bp,CrispRVariants,0
nrxn3a_L,0,Deletions > 10bp,CrispRVariants,0
nrxn3a_L,33.3%,No indels > 10bp,CrispRVariants,32.35
nrxn3a_L,33.3%,Mixed Indels,CrispRVariants,32.82
nrxn3a_L,33.3%,Insertions > 10bp,CrispRVariants,0
nrxn3a_L,33.3%,Deletions > 10bp,CrispRVariants,33.19
nrxn3a_L,66.7%,No indels > 10bp,CrispRVariants,66.07
nrxn3a_L,66.7%,Mixed Indels,CrispRVariants,63.06
nrxn3a_L,66.7%,Insertions > 10bp,CrispRVariants,0
nrxn3a_L,66.7%,Deletions > 10bp,CrispRVariants,64.03
nrxn3a_L,90%,No indels > 10bp,CrispRVariants,89.77
nrxn3a_L,90%,Mixed Indels,CrispRVariants,89.77
nrxn3a_L,90%,Insertions > 10bp,CrispRVariants,0
nrxn3a_L,90%,Deletions > 10bp,CrispRVariants,89.57
nrxn3b_L,0,No indels > 10bp,CrispRVariants,0
nrxn3b_L,0,Mixed Indels,CrispRVariants,0
nrxn3b_L,0,Insertions > 10bp,CrispRVariants,0
nrxn3b_L,0,Deletions > 10bp,CrispRVariants,0
nrxn3b_L,33.3%,No indels > 10bp,CrispRVariants,32.77
nrxn3b_L,33.3%,Mixed Indels,CrispRVariants,33.04
nrxn3b_L,33.3%,Insertions > 10bp,CrispRVariants,0
nrxn3b_L,33.3%,Deletions > 10bp,CrispRVariants,32.73
nrxn3b_L,66.7%,No indels > 10bp,CrispRVariants,66.08
nrxn3b_L,66.7%,Mixed Indels,CrispRVariants,66.2
nrxn3b_L,66.7%,Insertions > 10bp,CrispRVariants,0
nrxn3b_L,66.7%,Deletions > 10bp,CrispRVariants,66.44
nrxn3b_L,90%,No indels > 10bp,CrispRVariants,89.79
nrxn3b_L,90%,Mixed Indels,CrispRVariants,89.84
nrxn3b_L,90%,Insertions > 10bp,CrispRVariants,0
nrxn3b_L,90%,Deletions > 10bp,CrispRVariants,89.95
nrxn3b_S,0,No indels > 10bp,CrispRVariants,0
nrxn3b_S,0,Mixed Indels,CrispRVariants,0
nrxn3b_S,0,Insertions > 10bp,CrispRVariants,0
nrxn3b_S,0,Deletions > 10bp,CrispRVariants,0
nrxn3b_S,33.3%,No indels > 10bp,CrispRVariants,32.95
nrxn3b_S,33.3%,Mixed Indels,CrispRVariants,32.92
nrxn3b_S,33.3%,Insertions > 10bp,CrispRVariants,0
nrxn3b_S,33.3%,Deletions > 10bp,CrispRVariants,33.13
nrxn3b_S,66.7%,No indels > 10bp,CrispRVariants,66.07
nrxn3b_S,66.7%,Mixed Indels,CrispRVariants,66.01
nrxn3b_S,66.7%,Insertions > 10bp,CrispRVariants,0.67
nrxn3b_S,66.7%,Deletions > 10bp,CrispRVariants,63.72
nrxn3b_S,90%,No indels > 10bp,CrispRVariants,89.75
nrxn3b_S,90%,Mixed Indels,CrispRVariants,89.51
nrxn3b_S,90%,Insertions > 10bp,CrispRVariants,0
nrxn3b_S,90%,Deletions > 10bp,CrispRVariants,89.96
tjp1b_B,0,No indels > 10bp,CrispRVariants,0
tjp1b_B,0,Mixed Indels,CrispRVariants,0
tjp1b_B,0,Insertions > 10bp,CrispRVariants,0
tjp1b_B,0,Deletions > 10bp,CrispRVariants,0
tjp1b_B,33.3%,No indels > 10bp,CrispRVariants,32.41
tjp1b_B,33.3%,Mixed Indels,CrispRVariants,32.77
tjp1b_B,33.3%,Insertions > 10bp,CrispRVariants,0
tjp1b_B,33.3%,Deletions > 10bp,CrispRVariants,33.02
tjp1b_B,66.7%,No indels > 10bp,CrispRVariants,66
tjp1b_B,66.7%,Mixed Indels,CrispRVariants,65.49
tjp1b_B,66.7%,Insertions > 10bp,CrispRVariants,0
tjp1b_B,66.7%,Deletions > 10bp,CrispRVariants,66.56
tjp1b_B,90%,No indels > 10bp,CrispRVariants,89.78
tjp1b_B,90%,Mixed Indels,CrispRVariants,89.63
tjp1b_B,90%,Insertions > 10bp,CrispRVariants,0
tjp1b_B,90%,Deletions > 10bp,CrispRVariants,89.98
tjp1b_L,0,No indels > 10bp,CrispRVariants,0
tjp1b_L,0,Mixed Indels,CrispRVariants,0
tjp1b_L,0,Insertions > 10bp,CrispRVariants,0
tjp1b_L,0,Deletions > 10bp,CrispRVariants,0
tjp1b_L,33.3%,No indels > 10bp,CrispRVariants,32.91
tjp1b_L,33.3%,Mixed Indels,CrispRVariants,32.83
tjp1b_L,33.3%,Insertions > 10bp,CrispRVariants,0
tjp1b_L,33.3%,Deletions > 10bp,CrispRVariants,33.07
tjp1b_L,66.7%,No indels > 10bp,CrispRVariants,66.1
tjp1b_L,66.7%,Mixed Indels,CrispRVariants,66.25
tjp1b_L,66.7%,Insertions > 10bp,CrispRVariants,0.99
tjp1b_L,66.7%,Deletions > 10bp,CrispRVariants,66.6
tjp1b_L,90%,No indels > 10bp,CrispRVariants,89.81
tjp1b_L,90%,Mixed Indels,CrispRVariants,89.82
tjp1b_L,90%,Insertions > 10bp,CrispRVariants,0
tjp1b_L,90%,Deletions > 10bp,CrispRVariants,89.96
cnsta,0,No indels > 10bp,CRISPResso,0.0666666666666667
cnsta,0,Mixed Indels,CRISPResso,0.0666666666666667
cnsta,0,Insertions > 10bp,CRISPResso,0.0666666666666667
cnsta,0,Deletions > 10bp,CRISPResso,0.0666666666666667
cnsta,33.3%,No indels > 10bp,CRISPResso,21.3666666666667
cnsta,33.3%,Mixed Indels,CRISPResso,23.0410136712237
cnsta,33.3%,Insertions > 10bp,CRISPResso,10.3721298495645
cnsta,33.3%,Deletions > 10bp,CRISPResso,22.7
cnsta,66.7%,No indels > 10bp,CRISPResso,35.4
cnsta,66.7%,Mixed Indels,CRISPResso,64.8
cnsta,66.7%,Insertions > 10bp,CRISPResso,26.458157227388
cnsta,66.7%,Deletions > 10bp,CRISPResso,34.8666666666667
cnsta,90%,No indels > 10bp,CRISPResso,28.7429143047683
cnsta,90%,Mixed Indels,CRISPResso,47.8859060402685
cnsta,90%,Insertions > 10bp,CRISPResso,42.8824833702882
cnsta,90%,Deletions > 10bp,CRISPResso,70.7333333333333
cntn1a,0,No indels > 10bp,CRISPResso,0.0666888962987662
cntn1a,0,Mixed Indels,CRISPResso,0.0666888962987662
cntn1a,0,Insertions > 10bp,CRISPResso,0.0666888962987662
cntn1a,0,Deletions > 10bp,CRISPResso,0.0666888962987662
cntn1a,33.3%,No indels > 10bp,CRISPResso,24.8
cntn1a,33.3%,Mixed Indels,CRISPResso,23.1
cntn1a,33.3%,Insertions > 10bp,CRISPResso,2.58726899383984
cntn1a,33.3%,Deletions > 10bp,CRISPResso,27.1333333333333
cntn1a,66.7%,No indels > 10bp,CRISPResso,34.4333333333333
cntn1a,66.7%,Mixed Indels,CRISPResso,47.0647433747065
cntn1a,66.7%,Insertions > 10bp,CRISPResso,27.2202166064982
cntn1a,66.7%,Deletions > 10bp,CRISPResso,52.6842280760253
cntn1a,90%,No indels > 10bp,CRISPResso,37.1
cntn1a,90%,Mixed Indels,CRISPResso,17.7666666666667
cntn1a,90%,Insertions > 10bp,CRISPResso,15.5654101995565
cntn1a,90%,Deletions > 10bp,CRISPResso,81.7
cntn1b,0,No indels > 10bp,CRISPResso,0.133377792597532
cntn1b,0,Mixed Indels,CRISPResso,0.133377792597532
cntn1b,0,Insertions > 10bp,CRISPResso,0.133377792597532
cntn1b,0,Deletions > 10bp,CRISPResso,0.133377792597532
cntn1b,33.3%,No indels > 10bp,CRISPResso,23.4744914971657
cntn1b,33.3%,Mixed Indels,CRISPResso,20.1
cntn1b,33.3%,Insertions > 10bp,CRISPResso,11.4013266998342
cntn1b,33.3%,Deletions > 10bp,CRISPResso,28.4
cntn1b,66.7%,No indels > 10bp,CRISPResso,10.4666666666667
cntn1b,66.7%,Mixed Indels,CRISPResso,46.4333333333333
cntn1b,66.7%,Insertions > 10bp,CRISPResso,10.8548168249661
cntn1b,66.7%,Deletions > 10bp,CRISPResso,39.9666666666667
cntn1b,90%,No indels > 10bp,CRISPResso,49.733155436958
cntn1b,90%,Mixed Indels,CRISPResso,57.3666666666667
cntn1b,90%,Insertions > 10bp,CRISPResso,46.4046822742475
cntn1b,90%,Deletions > 10bp,CRISPResso,79.7333333333333
cntn3b,0,No indels > 10bp,CRISPResso,0.133734536944166
cntn3b,0,Mixed Indels,CRISPResso,0.133734536944166
cntn3b,0,Insertions > 10bp,CRISPResso,0.133734536944166
cntn3b,0,Deletions > 10bp,CRISPResso,0.133734536944166
cntn3b,33.3%,No indels > 10bp,CRISPResso,20.8152355496158
cntn3b,33.3%,Mixed Indels,CRISPResso,24.0975935828877
cntn3b,33.3%,Insertions > 10bp,CRISPResso,6.45514223194748
cntn3b,33.3%,Deletions > 10bp,CRISPResso,33.4891485809683
cntn3b,66.7%,No indels > 10bp,CRISPResso,17.762938230384
cntn3b,66.7%,Mixed Indels,CRISPResso,33.7901069518717
cntn3b,66.7%,Insertions > 10bp,CRISPResso,19.6574225122349
cntn3b,66.7%,Deletions > 10bp,CRISPResso,51.5212303577399
cntn3b,90%,No indels > 10bp,CRISPResso,43.1103678929766
cntn3b,90%,Mixed Indels,CRISPResso,78.0602006688963
cntn3b,90%,Insertions > 10bp,CRISPResso,67.7177979690005
cntn3b,90%,Deletions > 10bp,CRISPResso,54.4329207092673
cntnap2b,0,No indels > 10bp,CRISPResso,0.233333333333333
cntnap2b,0,Mixed Indels,CRISPResso,0.233333333333333
cntnap2b,0,Insertions > 10bp,CRISPResso,0.233333333333333
cntnap2b,0,Deletions > 10bp,CRISPResso,0.233333333333333
cntnap2b,33.3%,No indels > 10bp,CRISPResso,22.2333333333333
cntnap2b,33.3%,Mixed Indels,CRISPResso,27.242414138046
cntnap2b,33.3%,Insertions > 10bp,CRISPResso,7.2962962962963
cntnap2b,33.3%,Deletions > 10bp,CRISPResso,30.5
cntnap2b,66.7%,No indels > 10bp,CRISPResso,12.2
cntnap2b,66.7%,Mixed Indels,CRISPResso,27.8666666666667
cntnap2b,66.7%,Insertions > 10bp,CRISPResso,29.8973481608212
cntnap2b,66.7%,Deletions > 10bp,CRISPResso,62.4
cntnap2b,90%,No indels > 10bp,CRISPResso,33.4444814938313
cntnap2b,90%,Mixed Indels,CRISPResso,23.1410470156719
cntnap2b,90%,Insertions > 10bp,CRISPResso,39.4466755912539
cntnap2b,90%,Deletions > 10bp,CRISPResso,82.7333333333333
cntnap4,0,No indels > 10bp,CRISPResso,0.100033344448149
cntnap4,0,Mixed Indels,CRISPResso,0.100033344448149
cntnap4,0,Insertions > 10bp,CRISPResso,0.100033344448149
cntnap4,0,Deletions > 10bp,CRISPResso,0.100033344448149
cntnap4,33.3%,No indels > 10bp,CRISPResso,21.5
cntnap4,33.3%,Mixed Indels,CRISPResso,8.86666666666667
cntnap4,33.3%,Insertions > 10bp,CRISPResso,11.8944323933478
cntnap4,33.3%,Deletions > 10bp,CRISPResso,26.0753584528176
cntnap4,66.7%,No indels > 10bp,CRISPResso,28.1666666666667
cntnap4,66.7%,Mixed Indels,CRISPResso,25.0666666666667
cntnap4,66.7%,Insertions > 10bp,CRISPResso,19.4466403162055
cntnap4,66.7%,Deletions > 10bp,CRISPResso,42.7142380793598
cntnap4,90%,No indels > 10bp,CRISPResso,60.4
cntnap4,90%,Mixed Indels,CRISPResso,70.7
cntnap4,90%,Insertions > 10bp,CRISPResso,72.3566308243728
cntnap4,90%,Deletions > 10bp,CRISPResso,54.3333333333333
CNTNAP5,0,No indels > 10bp,CRISPResso,0.200066688896299
CNTNAP5,0,Mixed Indels,CRISPResso,0.200066688896299
CNTNAP5,0,Insertions > 10bp,CRISPResso,0.200066688896299
CNTNAP5,0,Deletions > 10bp,CRISPResso,0.200066688896299
CNTNAP5,33.3%,No indels > 10bp,CRISPResso,24.5666666666667
CNTNAP5,33.3%,Mixed Indels,CRISPResso,28.8333333333333
CNTNAP5,33.3%,Insertions > 10bp,CRISPResso,7.81499202551834
CNTNAP5,33.3%,Deletions > 10bp,CRISPResso,21.5071690563521
CNTNAP5,66.7%,No indels > 10bp,CRISPResso,28.1333333333333
CNTNAP5,66.7%,Mixed Indels,CRISPResso,64.6882294098033
CNTNAP5,66.7%,Insertions > 10bp,CRISPResso,31.6184351554126
CNTNAP5,66.7%,Deletions > 10bp,CRISPResso,58.7195731910637
CNTNAP5,90%,No indels > 10bp,CRISPResso,56.0666666666667
CNTNAP5,90%,Mixed Indels,CRISPResso,50.7
CNTNAP5,90%,Insertions > 10bp,CRISPResso,35.408560311284
CNTNAP5,90%,Deletions > 10bp,CRISPResso,65.6666666666667
gjd1a,0,No indels > 10bp,CRISPResso,0.333778371161549
gjd1a,0,Mixed Indels,CRISPResso,0.333778371161549
gjd1a,0,Insertions > 10bp,CRISPResso,0.333778371161549
